รหัสวิชา,ชื่อวิชา,หน่วยกิจ,ประเภทวิชา
03601314-65,"Digital Signal Processing 
การประมวลสัญญาณดิจิทัล",3(3-0-6),T14
03601315-65,"Digital Signal Processing Laboratory 
ปฏิบัติการประมวลสัญญาณดิจิทัล",1(0-3-2),T14
03601321-65,"Principles of Communications 
หลักการสื่อสาร",3(3-0-6),T14
03601323-65,"Communication Laboratory 
ปฏิบัติการไฟฟ้าสื่สาร",1(0-3-2),T14
03601333-65,"Microprocessors Laboratory 
ปฏิบัติการไมโครโพรเซสเซอร์",1(0-3-2),T14
03601334-65,"Electronic Circuits and Systems II 
วงจรและระบบอิเล็กทรอนิกส์ II",3(3-0-6),T14
03601335-65,"Advanced Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์ขั้นสูง",1(0-3-2),T14
03601336-65,"Design and Application of Electronic Circuits 
การออกแบบและประยุกต์วงจรอิเล็กทรอนิกส์",3(3-0-6),T14
03601351-65,"Electromechanical Energy Conversion II 
การแปลงผันพลังงานเครื่องกลไฟฟ้า II",3(3-0-6),T14
03601352-65,"Electromechanical Energy Conversion Laboratory II 
ปฏิบัติการการแปลงผันพลังงานเครื่องกลไฟฟ้า II",1(0-3-2),T14
03601355-65,"High-Voltage Engineering 
วิศวกรรมไฟฟ้าแรงสูง",3(3-0-6),T14
03601356-65,"Illumination Engineering 
วิศวกรรมการส่องสว่าง",3(3-0-6),T14
03601357-65,"Electrical Power System 
ระบบไฟฟ้ากำลัง",3(3-0-6),T14
03601358-65,"High-Voltage Engineering Laboratory 
ปฏิบัติการวิศวกรรมไฟฟ้าแรงสูง",3(3-0-6),T14
03601363-65,"Control and Measurement Laboratory 
ปฏิบัติการการควบคุมและการวัด",1(0-3-2),T14
03601364-65,"Industrial Automation Systems 
ระบบอัตโนมัติทางอุตสาหกรรม",3(3-0-6),T14
03601365-65,"Industrial Automation Systems Laboratory 
ปฏิบัติการระบบอัตโนมัติทางอุตสาหกรรม",1(0-3-2),T14
03601382-65,"Application Programs for Electrical Engineers 
โปรแกรมประยุกต์สำหรับวิศวกรไฟฟ้า",3(3-0-6),T14
03601432-65,"Analog Integrated Circuit Application Designs 
การออกแบบประยุกต์วงจรรวมแอนะล็อก",3(3-0-6),T14
03601433-65,"Industrial Electronics 
อิเล็กทรอนิกส์อุตสาหกรรม",3(3-0-6),T14
03601434-65,"Computer Aided Electronic System Development 
การพัฒนาระบบอิเล็กทรอนิกส์โดยใช้คอมพิวเตอร์ช่วย",3(3-0-6),T14
03601451-65,"Basic Power System Reliability 
ความเชื่อถือได้เบื่องตนของระบบกำลัง",3(3-0-6),T14
03601452-65,"Electric Power Plants 
โรงจักรไฟฟ้ากำลัง",3(3-0-6),T14
03601454-65,"Electric Power Systems Analysis Laboratory 
ปฏิบัติการการวิเคราะห์ระบบไฟฟ้า",1(0-3-2),T14
03601456-65,"Power System Protection 
การป้องกันระบบไฟฟ้ากำลัง",3(3-0-6),T14
03601457-65,"Electrical Systems and Signal Systems in Building 
ระบบไฟฟ้าและระบบสัญญาณในอาคาร",3(3-0-6),T14
03601461-65,"Process Control 
การควบคุมกระบวนการ",3(3-0-6),T14
03601462-65,"Industrial Sensors and Control Devices 
เซนเซอร์ทางอุตสาหกรรมและอุปกรณ์ควบคุม",3(3-0-6),T14
03601463-65,"Computer Control of Machines and Processes 
การควบคุมเครื่องจักรกลและกระบวนการด้วยคอมพิวเตอร์",3(3-0-6),T14
03601464-65,"Sensors and Transducers 
เซนเซอร์และตัวแปลงสัญญาณ",3(3-0-6),T14
03601465-65,"ิElectrical and Electronics Innovation 
นวัตกรรมทางไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
03601466-65,"Introduction to Robotic Systems 
ระบบหุ่นยนต์เบื้องต้น",3(3-0-6),T14
03601467-65,"Railway Signaling and Control Systems 
ระบบอาณัติสัญญาณและควบคุมระบบราง",3(3-0-6),T14
03601471-65,"Analysis and Applications of Electrical Machines 
การวิเคราะห์และประยุกต์เครื่องจักรไฟฟ้า",3(3-0-6),T14
03601472-65,"Electric Drives 
การขับเคลื่อนด้วยไฟฟ้า",3(3-0-6),T14
03601474-65,"Power Electronics Laboratory 
ปฏิบัติการอิเล็กทรอนิกส์กำลัง",1(0-3-2),T14
03601475-65,"Power Electronics for Energy Conservation 
อิเล็กทรอนิกส์กำลังสำหรับการอนุรักษ์พลังงาน",3(3-0-6),T14
03601476-65,"Distributed Generation Systems 
ระบบผลิตไฟฟ้าจำหน่าย",3(3-0-6),T14
03601478-65,"Energy Conservation and Management 
การอนุรักษ์และการจัดการพลังงาน",3(3-0-6),T14
03601479-65,"Electric Vehicle Systems 
ระบบยานยนต์ไฟฟ้า",3(3-0-6),T14
03601496-65,"Selected Topics in Electrical and Electronics Engineering 
เรื่องเฉพาะทางวิศวกรรมไฟฟ้าและอิเล็กทรอนิกส์",3(3-0-6),T14
03601498-65,"Special Problems 
ปัญหาพิเศษ",3(3-0-6),T14
03602212-60,"Computer-Aided Design
การออกแบบใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
03602221-60,"Applied Probability and Statistics for Engineers
ความน่าจะเป็นและสถิติประยุกต์สำหรับวิศวกร",3(3-0-6),T17
03602222-60,"Parameter Design
การออกแบบพารามิเตอร์",3(3-0-6),T17
03602251-60,"Engineering Economy
เศรษฐศาสตร์วิศวกรรม",3(3-0-6),T17
03602311-60,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T17
03602312-60,"Introduction to Industrial and Systems Engineering
วิศวกรรมอุตสาหการและระบบเบื้องต้น",1(0-3-2),T17
03602321-60,"Operations Research for Engineers I
การวิจัยการดำเนินงานสำหรับวิศวกร I",3(3-0-6),T17
03602322-60,"Quality Control
การควบคุมคุณภาพ",3(3-0-6),T17
03602341-60,"Industrial Work Study
การศึกษาการทำงานทางอุตสาหกรรม",3(3-0-6),T17
03602342-60,"Production Planning and Control
การวางแผนและการควบคุมการผลิต",3(3-0-6),T17
03602343-60,"Industrial Plant Design
การออกแบบโรงงานอุตสาหกรรม",3(3-0-6),T17
03602361-60,"Computer Applications for Industrial Engineers
คอมพิวเตอร์ประยุกต์สำหรับวิศวกรอุตสาหการ",3(3-0-6),T17
03602362-60,"Automatic Production System
ระบบการผลิตอัตโนมัติ",4(3-3-8),T17
03602381-60,"Industrial Engineering Laboratory
ปฏิบัติการวิศวกรรมอุตสาหการ",1(0-3-2),T17
03602412-60,"Manufacturing System Engineering
วิศวกรรมระบบการผลิต",3(3-0-6),T17
03602452-60,"Industrial Cost Analysis
การวิเคราะห์ต้นทุนทางอุตสาหกรรม",3(3-0-6),T17
03602461-60,"Systems Engineering
วิศวกรรมระบบ",3(3-0-6),T17
03602471-60,"Maintenance Engineering
วิศวกรรมการซ่อมบำรุง",3(3-0-6),T17
03602472-60,"Industrial Safety
ความปลอดภัยในอุตสาหกรรม",3(3-0-6),T17
03602497-60,"Seminar
สัมมนา",1,T17
03604201-60,"Basic Principles of Engineering Mechanics
หลักพื้นฐานทางกลศาสตร์วิศวกรรม",3(3-0-6),T17
03604203-60,"Introduction to Thermodynamics and Fluid Mechanics
อุณหพลศาสตร์และกลศาสตร์ของไหลเบื้องต้น",3(3-0-6),T17
03604281-60,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T17
03604381-60,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T17
03602495-60,"Industrial and Systems Engineering Project Preparation 
การเตรียมโครงงานวิศวกรรมอุตสาหการและระบบ",1(0-3-2),T17
03602499-60,"Industrial and Systems Engineering Project 
โครงงานวิศวกรรมอุตสาหการและระบบ",2(0-6-3),T17
03602323-60,"Operations Research for Engineers II
การวิจัยการดำเนินงานสำหรับวิศวกร II",3(3-0-6),T17
03602411-60,"Industrial Instrumentation and Measurement
วิชาการเครื่องมือและการวัดทางอุตสาหกรรม",3(3-0-6),T17
03602414-60,"Design for Manufacturing and Assembly
การออกแบบเพื่อการผลิตและการประกอบ",3(3-0-6),T17
03602415-60,"Industrial Packaging
การบรรจุทางอุตสาหกรรม",3(3-0-6),T17
03602416-60,"Computer-Aided Design and Manufacturing
การออกแบบและผลิตใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
03602417-60,"Computer-aided Engineering and Manufacturing
คอมพิวเตอร์ช่วยในงานวิศวกรรมและการผลิต",3(3-0-6),T17
03602418-60,"Applied Image Processing for Manufacturing Processes
การประมวลผลภาพเชิงประยุกต์สำหรับกระบวนการผลิต",3(3-0-6),T17
03602419-60,"Innovative Product Design and Manufacturing
การออกแบบและการผลิตผลิตภัณฑ์เชิงนวัตกรรม",3(3-0-6),T17
03602421-60,"Simulation
การจำลองสถานการณ์",3(3-0-6),T17
03602423-60,"Experimental Design for Engineers
การออกแบบแผนการทดลองสำหรับวิศวกร",3(3-0-6),T17
03602431-60,"Industrial Management
การจัดการอุตสาหกรรม",3(3-0-6),T17
03602432-60,"Design of Industrial Information System
การออกแบบระบบสารสนเทศทางอุตสาหกรรม",3(3-0-6),T17
03602442-60,"Energy Management
การจัดการพลังงาน",3(3-0-6),T17
03602443-60,"Ergonomics
การยศาสตร์",3(3-0-6),T17
03602444-60,"Industrial Forecasting
การพยากรณ์ทางอุตสาหกรรม",3(3-0-6),T17
03602445-60,"Value Engineering
วิศวกรรมคุณค่า",3(3-0-6),T17
03602446-60,"Productivity Measurement and Management
การวัดและการจัดการผลิตภาพ",3(3-0-6),T17
03602451-60,"Industrial and Commercial Laws
กฎหมายอุตสาหกรรมและพาณิชยกรรม",3(3-0-6),T17
03602453-60,"Industrial Project Feasibility Study
การศึกษาความเป็นไปได้ของโครงการอุตสาหกรรม",3(3-0-6),T17
03602462-60,"Logistics Engineering
วิศวกรรมโลจิสติกส์",3(3-0-6),T17
03602496-60,"Selected Topics in Industrial and Systems Engineering
เรื่องเฉพาะทางวิศวกรรมอุตสาหการและระบบ",45352,T17
03602498-60,"Special Problems
ปัญหาพิเศษ",45352,T17
03602212-65,"Computer-Aided Design
การออกแบบใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
03602221-65,"Applied Probability and Statistics for Engineers
ความน่าจะเป็นและสถิติประยุกต์สำหรับวิศวกร",3(3-0-6),T17
03602222-65,"Engineering Experimental Design
การออกแบบการทดลองเชิงวิศวกรรม",3(3-0-6),T17
03602223-65,"Introduction to Computation and Intelligent Systems
การคำนวณและระบบอัจฉริยะเบื้องต้น",3(3-0-6),T17
03602251-65,"Engineering Economy
เศรษฐศาสตร์วิศวกรรม",3(3-0-6),T17
03602311-65,"Manufacturing Processes I
กระบวนการผลิต I",3(3-0-6),T17
03602312-65,"Introduction to Industrial and Systems Engineering
วิศวกรรมอุตสาหการและระบบเบื้องต้น",1(0-3-2),T17
03602321-65,"Operations Research for Engineers I
การวิจัยการดำเนินงานสำหรับวิศวกร I",3(3-0-6),T17
03602322-65,"Quality Control
การควบคุมคุณภาพ",3(3-0-6),T17
03602331-65,"Industrial Safety
ความปลอดภัยในอุตสาหกรรม",3(3-0-6),T17
03602341-65,"Industrial Work Study
การศึกษาการทำงานทางอุตสาหกรรม",3(3-0-6),T17
03602342-65,"Production Planning and Control
การวางแผนและการควบคุมการผลิต",3(3-0-6),T17
03602343-65,"Industrial Plant and Facilities Design
การออกแบบโรงงานอุตสหากรรมและสิ่งอำนวยความสะดวก",3(3-0-6),T17
03602351-65,"Industrial Cost Analysis
การวิเคราะห์ต้นทุนทางอุตสาหกรรม",3(3-0-6),T17
03602361-65,"Computer Applications for Industrial Engineers
คอมพิวเตอร์ประยุกต์สำหรับวิศวกรอุตสาหการ",3(3-0-6),T17
03602362-65,"Automatic Production System
ระบบการผลิตอัตโนมัติ",4(3-3-8),T17
03602421-65,"Simulation
การจำลองสถานการณ์",3(3-0-6),T17
03602433-65,"Maintenance Engineering
วิศวกรรมการซ่อมบำรุง",3(3-0-6),T17
03602461-65,"Systems Engineering
วิศวกรรมระบบ",3(3-0-6),T17
03602481-65,"Industrial Engineering Laboratory
ปฏิบัติการวิศวกรรมอุตสาหการ",1(0-3-2),T17
03602495-65,"Industrial and Systems Engineering Project Preparation
การเตรียมโครงงานวิศวกรรมอุตสาหการและระบบ",1(0-3-2),T17
03602499-65,"Industrial and Systems Engineering Project
โครงงานวิศวกรรมอุตสาหการและระบบ",2(0-6-3),T17
03604203-65,"Introduction to Thermodynamics and Fluid Mechanics
อุณหพลศาสตร์และกลศาสตร์ของไหลเบื้องต้น",3(3-0-6),T17
03604223-65,"Basic Principles of Engineering Mechanics
หลักพื้นฐานทางกลศาสตร์ของไหลเบื้องต้น",3(3-0-6),T17
03604281-65,"Workshop Practice
การฝึกงานโรงงาน",1(0-3-2),T17
03604381-65,"Mechanical Engineering Laboratory I
ปฏิบัติการวิศวกรรมเครื่องกล I",1(0-3-2),T17
03602323-65,"Operations Research for Engineers II
การวิจัยการดำเนินงานสำหรับวิศวกร II",3(3-0-6),T17
03602412-65,"Manufacturing System Engineering
วิศวกรรมระบบการผลิต",3(3-0-6),T17
03602413-65,"Industrial Packaging
การบรรจุภัณฑ์ทางอุตสาหกรรม",3(3-0-6),T17
03602414-65,"Computer-Aided Design and Manufacturing
การออกแบบและผลิตใช้คอมพิวเตอร์ช่วย",3(2-3-6),T17
03602415-65,"Computer-Aided Engineering and Manufacturing
คอมพิวเตอร์ช่วนในงานวิศวกรรมและการผลิต",3(2-3-6),T17
03602416-65,"Applied Image Processing for Manufacturing Processes
การประมวลผลภาพเชิงประยุกต์สำหรับกระบวนการผลิต",3(3-0-6),T17
03602417-65,"Innovative Product Design and Manufacturing
การออกแบบและการผลิตภัณฑ์เชิงนวัตกรรม",3(3-0-6),T17
03602418-65,"Application of Industrial Internet of Things in Manufacturing Systems
การประยุกต์อินเตอร์เน็ตสรรพสิ่งสำหรับอุตสาหกรรมในระบบการผลิต",3(3-0-6),T17
03602422-65,"Practical Operations Research
การวิจัยการดำเนินงานภาคปฏิบัติ",3(3-0-6),T17
03602431-65,"Innovative Industrial Management
การจัดการนวัตกรรมอุตสาหกรรม",3(3-0-6),T17
03602432-65,"Design of Industrial Information System
การออกแบบระบบสารสนเทศทางอุตสาหกรรม",3(3-0-6),T17
03602434-65,"Lean Manufacturing
การจัดการพลังงาน",3(3-0-6),T17
03602441-65,"Shop Floor Management
การบริหารพื้นที่ผลิต",3(3-0-6),T17
03602442-65,"Energy Management
การจัดการพลังงาน",3(3-0-6),T17
03602443-65,"Ergonomics
การยศาสตร์",3(3-0-6),T17
03602445-65,"Value Engineering
วิศวกรรมคุณค่า",3(3-0-6),T17
03602446-65,"Productivity Measurement and Management
การวัดและการจัดการผลิตภาพ",3(3-0-6),T17
03602451-65,"Industrial Project Feasibility Study
การศึกษาความเป็นไปได้ของโครงการอุตสาหกรรม",3(3-0-6),T17
03602471-65,"Logistics Engineering
วิศวกรรมโลจิสติกส์",3(3-0-6),T17
03602472-65,"Inventory Management and Warehouse Operations
การจัดการสินค้าคงคลังและการดำเนินงานคลังสินค้า",3(3-0-6),T17
03602473-65,"Strategies for Managing Supply Chains
กลยุทธ์สำหรับการจัดการโซ่อุปทาน",3(3-0-6),T17
03602496-65,"Selected Topics in Industrial and Systems Engineering
เรื่องเฉพาะทางวิศวกรรมอุตสาหการและระบบ",3(3-0-6),T17
03602498-65,"Special Problems
ปัญหาพิเศษ",3(3-0-6),T17
